Id,Label,timeset,componentid,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
574,25359,,0,10,10,20,10,10,20
575,580,,0,2,2,4,2,2,4
576,6431,,0,2,2,4,2,2,4
577,22177,,0,21,21,42,21,21,42
578,1000,,0,25,25,50,25,25,50
579,25948,,0,4,4,8,4,4,8
580,676,,0,26,26,52,26,26,52
581,13220,,0,11,11,22,11,11,22
582,21798,,0,8,8,16,8,8,16
583,16729,,0,1,1,2,1,1,2
584,2049,,0,2,2,4,2,2,4
585,9915,,0,2,2,4,2,2,4
586,6774,,0,27,27,54,27,27,54
587,8049,,0,8,8,16,8,8,16
588,11964,,0,13,13,26,13,13,26
589,15538,,0,14,14,28,14,14,28
590,16694,,0,9,9,18,9,9,18
591,22457,,0,30,30,60,30,30,60
592,231,,0,30,30,60,30,30,60
593,2980,,0,24,24,48,24,24,48
594,5578,,0,7,7,14,7,7,14
595,9889,,0,20,20,40,20,20,40
596,22937,,0,18,18,36,18,18,36
597,365,,0,5,5,10,5,5,10
598,14552,,0,5,5,10,5,5,10
599,15585,,0,5,5,10,5,5,10
600,18579,,0,13,13,26,13,13,26
601,5434,,0,4,4,8,4,4,8
602,10383,,0,4,4,8,4,4,8
603,13319,,0,4,4,8,4,4,8
604,16115,,0,6,6,12,6,6,12
605,21583,,0,4,4,8,4,4,8
606,10039,,0,11,11,22,11,11,22
607,5510,,0,7,7,14,7,7,14
608,6963,,0,12,12,24,12,12,24
609,6810,,0,3,3,6,3,3,6
610,13636,,0,2,2,4,2,2,4
611,16696,,0,2,2,4,2,2,4
612,17739,,0,3,3,6,3,3,6
613,19605,,0,2,2,4,2,2,4
614,9482,,0,21,21,42,21,21,42
615,2982,,0,3,3,6,3,3,6
616,2558,,0,2,2,4,2,2,4
617,21910,,0,11,11,22,11,11,22
618,18910,,0,2,2,4,2,2,4
619,18065,,0,8,8,16,8,8,16
620,5838,,0,2,2,4,2,2,4
621,11572,,0,3,3,6,3,3,6
622,21630,,0,2,2,4,2,2,4
623,12422,,0,3,3,6,3,3,6
624,21379,,0,22,22,44,22,22,44
625,25940,,0,2,2,4,2,2,4
626,24023,,0,9,9,18,9,9,18
627,950,,0,7,7,14,7,7,14
628,6056,,0,10,10,20,10,10,20
629,15528,,0,4,4,8,4,4,8
630,163,,0,2,2,4,2,2,4
631,10910,,0,3,3,6,3,3,6
632,25777,,0,9,9,18,9,9,18
633,345,,0,13,13,26,13,13,26
634,1234,,0,7,7,14,7,7,14
635,1841,,0,6,6,12,6,6,12
636,1997,,0,8,8,16,8,8,16
637,2404,,0,8,8,16,8,8,16
638,2450,,0,2,2,4,2,2,4
639,3409,,0,16,16,32,16,16,32
640,5134,,0,7,7,14,7,7,14
641,9341,,0,4,4,8,4,4,8
642,12503,,0,9,9,18,9,9,18
643,13060,,0,9,9,18,9,9,18
644,16611,,0,6,6,12,6,6,12
645,18208,,0,24,24,48,24,24,48
646,18543,,0,8,8,16,8,8,16
647,22421,,0,6,6,12,6,6,12
648,23363,,0,10,10,20,10,10,20
649,23628,,0,6,6,12,6,6,12
650,25251,,0,2,2,4,2,2,4
651,10549,,0,4,4,8,4,4,8
652,2307,,0,2,2,4,2,2,4
653,6934,,0,14,14,28,14,14,28
654,3066,,0,6,6,12,6,6,12
655,7991,,0,4,4,8,4,4,8
656,8116,,0,20,20,40,20,20,40
657,11609,,0,8,8,16,8,8,16
658,15384,,0,2,2,4,2,2,4
659,16946,,0,3,3,6,3,3,6
660,17612,,0,9,9,18,9,9,18
661,13364,,0,8,8,16,8,8,16
662,4036,,0,3,3,6,3,3,6
663,4115,,0,5,5,10,5,5,10
664,12938,,0,8,8,16,8,8,16
665,13032,,0,2,2,4,2,2,4
666,19215,,0,2,2,4,2,2,4
667,22726,,0,3,3,6,3,3,6
668,22966,,0,4,4,8,4,4,8
669,23511,,0,4,4,8,4,4,8
670,25528,,0,3,3,6,3,3,6
671,25836,,0,8,8,16,8,8,16
672,3872,,0,8,8,16,8,8,16
673,12409,,0,3,3,6,3,3,6
674,392,,0,1,1,2,1,1,2
675,3173,,0,1,1,2,1,1,2
676,3853,,0,1,1,2,1,1,2
677,3927,,0,2,2,4,2,2,4
678,3939,,0,18,18,36,18,18,36
679,5218,,0,2,2,4,2,2,4
680,5230,,0,2,2,4,2,2,4
681,6030,,0,4,4,8,4,4,8
682,7504,,0,11,11,22,11,11,22
683,7601,,0,2,2,4,2,2,4
684,8718,,0,2,2,4,2,2,4
685,11621,,0,7,7,14,7,7,14
686,12498,,0,2,2,4,2,2,4
687,12691,,0,2,2,4,2,2,4
688,15251,,0,1,1,2,1,1,2
689,16020,,0,7,7,14,7,7,14
690,16261,,0,1,1,2,1,1,2
691,17156,,0,3,3,6,3,3,6
692,18622,,0,2,2,4,2,2,4
693,19059,,0,6,6,12,6,6,12
694,19525,,0,3,3,6,3,3,6
695,20122,,0,4,4,8,4,4,8
696,20432,,0,5,5,10,5,5,10
697,21866,,0,1,1,2,1,1,2
698,22074,,0,10,10,20,10,10,20
699,23721,,0,3,3,6,3,3,6
700,12637,,0,3,3,6,3,3,6
701,13615,,0,3,3,6,3,3,6
702,5674,,0,1,1,2,1,1,2
703,16607,,0,4,4,8,4,4,8
704,4638,,0,1,1,2,1,1,2
705,23909,,0,1,1,2,1,1,2
706,215,,0,17,17,34,17,17,34
707,185,,0,17,17,34,17,17,34
708,351,,0,17,17,34,17,17,34
709,1074,,0,17,17,34,17,17,34
710,1858,,0,17,17,34,17,17,34
711,4512,,0,17,17,34,17,17,34
712,6892,,0,17,17,34,17,17,34
713,8280,,0,17,17,34,17,17,34
714,14542,,0,17,17,34,17,17,34
715,17751,,0,17,17,34,17,17,34
716,18095,,0,17,17,34,17,17,34
717,18143,,0,17,17,34,17,17,34
718,18649,,0,17,17,34,17,17,34
719,18943,,0,17,17,34,17,17,34
720,19573,,0,17,17,34,17,17,34
721,22601,,0,37,37,74,37,37,74
722,22793,,0,17,17,34,17,17,34
723,9829,,0,15,15,30,15,15,30
724,12212,,0,15,15,30,15,15,30
725,1545,,0,14,14,28,14,14,28
726,25565,,0,4,4,8,4,4,8
727,5116,,0,5,5,10,5,5,10
728,15657,,0,2,2,4,2,2,4
729,20427,,0,4,4,8,4,4,8
730,17800,,0,3,3,6,3,3,6
731,14067,,0,9,9,18,9,9,18
732,2074,,0,2,2,4,2,2,4
733,10996,,0,4,4,8,4,4,8
734,19080,,0,3,3,6,3,3,6
735,12406,,0,10,10,20,10,10,20
736,5266,,0,6,6,12,6,6,12
737,12664,,0,2,2,4,2,2,4
738,17268,,0,4,4,8,4,4,8
739,5672,,0,2,2,4,2,2,4
740,7824,,0,4,4,8,4,4,8
741,8815,,0,2,2,4,2,2,4
742,12065,,0,3,3,6,3,3,6
743,14558,,0,2,2,4,2,2,4
744,15306,,0,1,1,2,1,1,2
745,15400,,0,1,1,2,1,1,2
746,22528,,0,2,2,4,2,2,4
747,22832,,0,2,2,4,2,2,4
748,2081,,0,1,1,2,1,1,2
749,2664,,0,1,1,2,1,1,2
750,13528,,0,2,2,4,2,2,4
751,14628,,0,2,2,4,2,2,4
752,22574,,0,9,9,18,9,9,18
753,25872,,0,1,1,2,1,1,2
754,8710,,0,2,2,4,2,2,4
755,22483,,0,8,8,16,8,8,16
756,8312,,0,7,7,14,7,7,14
757,10765,,0,6,6,12,6,6,12
758,17538,,0,6,6,12,6,6,12
759,25978,,0,6,6,12,6,6,12
760,14952,,0,12,12,24,12,12,24
761,1840,,0,5,5,10,5,5,10
762,4713,,0,5,5,10,5,5,10
763,6824,,0,5,5,10,5,5,10
764,12492,,0,5,5,10,5,5,10
765,4211,,0,9,9,18,9,9,18
766,7104,,0,2,2,4,2,2,4
767,11670,,0,7,7,14,7,7,14
768,11876,,0,5,5,10,5,5,10
769,17808,,0,4,4,8,4,4,8
770,9649,,0,4,4,8,4,4,8
771,10251,,0,5,5,10,5,5,10
772,17294,,0,2,2,4,2,2,4
773,2309,,0,3,3,6,3,3,6
774,6532,,0,3,3,6,3,3,6
775,8553,,0,1,1,2,1,1,2
776,6494,,0,7,7,14,7,7,14
777,6364,,0,6,6,12,6,6,12
778,6857,,0,10,10,20,10,10,20
779,321,,0,2,2,4,2,2,4
780,13556,,0,20,20,40,20,20,40
781,2155,,0,10,10,20,10,10,20
782,5078,,0,8,8,16,8,8,16
783,25172,,0,8,8,16,8,8,16
784,11468,,0,2,2,4,2,2,4
785,11470,,0,2,2,4,2,2,4
786,17804,,0,3,3,6,3,3,6
787,7007,,0,25,25,50,25,25,50
788,8807,,0,4,4,8,4,4,8
789,11032,,0,2,2,4,2,2,4
790,2200,,0,4,4,8,4,4,8
791,17729,,0,2,2,4,2,2,4
792,20052,,0,7,7,14,7,7,14
793,21830,,0,3,3,6,3,3,6
794,12334,,0,13,13,26,13,13,26
795,17536,,0,10,10,20,10,10,20
796,23880,,0,7,7,14,7,7,14
797,2591,,0,6,6,12,6,6,12
798,8932,,0,1,1,2,1,1,2
799,9188,,0,3,3,6,3,3,6
800,9773,,0,2,2,4,2,2,4
801,13713,,0,2,2,4,2,2,4
802,19179,,0,7,7,14,7,7,14
803,17778,,0,5,5,10,5,5,10
804,2556,,0,11,11,22,11,11,22
805,21699,,0,3,3,6,3,3,6
806,25382,,0,3,3,6,3,3,6
807,5136,,0,2,2,4,2,2,4
808,20683,,0,7,7,14,7,7,14
809,11275,,0,19,19,38,19,19,38
810,7801,,0,6,6,12,6,6,12
811,14089,,0,5,5,10,5,5,10
812,25215,,0,5,5,10,5,5,10
813,8851,,0,11,11,22,11,11,22
814,13008,,0,19,19,38,19,19,38
815,22758,,0,11,11,22,11,11,22
816,16101,,0,10,10,20,10,10,20
817,8612,,0,18,18,36,18,18,36
818,615,,0,18,18,36,18,18,36
819,743,,0,9,9,18,9,9,18
820,2076,,0,2,2,4,2,2,4
821,4515,,0,8,8,16,8,8,16
822,5773,,0,4,4,8,4,4,8
823,10822,,0,2,2,4,2,2,4
824,11175,,0,9,9,18,9,9,18
825,11604,,0,5,5,10,5,5,10
826,14004,,0,2,2,4,2,2,4
827,15552,,0,18,18,36,18,18,36
828,16083,,0,10,10,20,10,10,20
829,17932,,0,11,11,22,11,11,22
830,20001,,0,1,1,2,1,1,2
831,23481,,0,5,5,10,5,5,10
832,10590,,0,7,7,14,7,7,14
833,12606,,0,7,7,14,7,7,14
834,19107,,0,6,6,12,6,6,12
835,12308,,0,4,4,8,4,4,8
836,15935,,0,5,5,10,5,5,10
837,18276,,0,4,4,8,4,4,8
838,9306,,0,11,11,22,11,11,22
839,23145,,0,3,3,6,3,3,6
840,13501,,0,2,2,4,2,2,4
841,16216,,0,1,1,2,1,1,2
842,19159,,0,6,6,12,6,6,12
843,26190,,0,5,5,10,5,5,10
844,7245,,0,8,8,16,8,8,16
845,4269,,0,3,3,6,3,3,6
846,26159,,0,3,3,6,3,3,6
847,7893,,0,9,9,18,9,9,18
848,16778,,0,8,8,16,8,8,16
849,18051,,0,10,10,20,10,10,20
850,7533,,0,8,8,16,8,8,16
851,7014,,0,2,2,4,2,2,4
852,21027,,0,2,2,4,2,2,4
853,25189,,0,4,4,8,4,4,8
854,2055,,0,2,2,4,2,2,4
855,25286,,0,13,13,26,13,13,26
856,1425,,0,9,9,18,9,9,18
857,7105,,0,5,5,10,5,5,10
858,23841,,0,10,10,20,10,10,20
859,2883,,0,2,2,4,2,2,4
860,4015,,0,2,2,4,2,2,4
861,9360,,0,10,10,20,10,10,20
862,15144,,0,13,13,26,13,13,26
863,4983,,0,2,2,4,2,2,4
864,5365,,0,1,1,2,1,1,2
865,811,,0,9,9,18,9,9,18
866,15123,,0,3,3,6,3,3,6
867,21776,,0,5,5,10,5,5,10
868,21543,,0,7,7,14,7,7,14
869,13801,,0,45,45,90,45,45,90
870,10825,,0,2,2,4,2,2,4
871,22197,,0,4,4,8,4,4,8
872,195,,0,3,3,6,3,3,6
873,19168,,0,3,3,6,3,3,6
874,20119,,0,5,5,10,5,5,10
875,20236,,0,3,3,6,3,3,6
876,1356,,0,4,4,8,4,4,8
877,1727,,0,7,7,14,7,7,14
878,4125,,0,5,5,10,5,5,10
879,6667,,0,3,3,6,3,3,6
880,6825,,0,2,2,4,2,2,4
881,10351,,0,3,3,6,3,3,6
882,16676,,0,2,2,4,2,2,4
883,21194,,0,1,1,2,1,1,2
884,573,,0,4,4,8,4,4,8
885,9800,,0,9,9,18,9,9,18
886,20716,,0,28,28,56,28,28,56
887,10896,,0,1,1,2,1,1,2
888,20915,,0,1,1,2,1,1,2
889,22848,,0,2,2,4,2,2,4
890,2239,,0,4,4,8,4,4,8
891,22894,,0,2,2,4,2,2,4
892,12763,,0,2,2,4,2,2,4
893,5408,,0,2,2,4,2,2,4
894,19609,,0,2,2,4,2,2,4
895,10912,,0,3,3,6,3,3,6
896,14534,,0,12,12,24,12,12,24
897,19783,,0,1,1,2,1,1,2
898,21705,,0,3,3,6,3,3,6
899,22836,,0,3,3,6,3,3,6
900,11638,,0,2,2,4,2,2,4
901,4442,,0,11,11,22,11,11,22
902,25896,,0,7,7,14,7,7,14
903,21125,,0,12,12,24,12,12,24
904,24398,,0,5,5,10,5,5,10
905,3827,,0,3,3,6,3,3,6
906,8595,,0,3,3,6,3,3,6
907,14691,,0,3,3,6,3,3,6
908,14559,,0,2,2,4,2,2,4
909,11924,,0,1,1,2,1,1,2
910,25437,,0,1,1,2,1,1,2
911,106,,0,4,4,8,4,4,8
912,260,,0,5,5,10,5,5,10
913,2959,,0,10,10,20,10,10,20
914,3677,,0,12,12,24,12,12,24
915,4708,,0,3,3,6,3,3,6
916,5172,,0,10,10,20,10,10,20
917,5541,,0,6,6,12,6,6,12
918,5794,,0,3,3,6,3,3,6
919,5807,,0,9,9,18,9,9,18
920,6575,,0,11,11,22,11,11,22
921,8458,,0,2,2,4,2,2,4
922,10601,,0,2,2,4,2,2,4
923,11401,,0,2,2,4,2,2,4
924,13026,,0,4,4,8,4,4,8
925,13205,,0,5,5,10,5,5,10
926,13659,,0,8,8,16,8,8,16
927,13989,,0,10,10,20,10,10,20
928,14007,,0,4,4,8,4,4,8
929,14009,,0,3,3,6,3,3,6
930,14599,,0,30,30,60,30,30,60
931,15301,,0,2,2,4,2,2,4
932,20934,,0,5,5,10,5,5,10
933,25916,,0,10,10,20,10,10,20
934,26023,,0,3,3,6,3,3,6
935,26051,,0,2,2,4,2,2,4
936,26100,,0,2,2,4,2,2,4
937,13190,,0,11,11,22,11,11,22
938,25469,,0,7,7,14,7,7,14
939,23751,,0,4,4,8,4,4,8
940,7579,,0,2,2,4,2,2,4
941,15793,,0,5,5,10,5,5,10
942,22,,0,6,6,12,6,6,12
943,11183,,0,3,3,6,3,3,6
944,13318,,0,3,3,6,3,3,6
945,17794,,0,5,5,10,5,5,10
946,14661,,0,13,13,26,13,13,26
947,2341,,0,2,2,4,2,2,4
948,2761,,0,4,4,8,4,4,8
949,12545,,0,22,22,44,22,22,44
950,18140,,0,14,14,28,14,14,28
951,7204,,0,6,6,12,6,6,12
952,24057,,0,23,23,46,23,23,46
953,18724,,0,3,3,6,3,3,6
954,18739,,0,4,4,8,4,4,8
955,20954,,0,2,2,4,2,2,4
956,23991,,0,3,3,6,3,3,6
957,15329,,0,3,3,6,3,3,6
958,5435,,0,3,3,6,3,3,6
959,23559,,0,3,3,6,3,3,6
960,5181,,0,4,4,8,4,4,8
961,18091,,0,3,3,6,3,3,6
962,24456,,0,3,3,6,3,3,6
963,24431,,0,8,8,16,8,8,16
964,4550,,0,21,21,42,21,21,42
965,25006,,0,22,22,44,22,22,44
966,11416,,0,7,7,14,7,7,14
967,8222,,0,4,4,8,4,4,8
968,21495,,0,5,5,10,5,5,10
969,11182,,0,4,4,8,4,4,8
970,2047,,0,4,4,8,4,4,8
971,3632,,0,4,4,8,4,4,8
972,15383,,0,4,4,8,4,4,8
973,24385,,0,11,11,22,11,11,22
974,3716,,0,13,13,26,13,13,26
975,8391,,0,4,4,8,4,4,8
976,14497,,0,3,3,6,3,3,6
977,24101,,0,5,5,10,5,5,10
978,13196,,0,4,4,8,4,4,8
979,9659,,0,5,5,10,5,5,10
980,25607,,0,8,8,16,8,8,16
981,11052,,0,6,6,12,6,6,12
982,10879,,0,3,3,6,3,3,6
983,11925,,0,3,3,6,3,3,6
984,15082,,0,3,3,6,3,3,6
985,18595,,0,2,2,4,2,2,4
986,214,,0,7,7,14,7,7,14
987,1488,,0,31,31,62,31,31,62
988,1667,,0,9,9,18,9,9,18
989,20315,,0,4,4,8,4,4,8
990,1561,,0,1,1,2,1,1,2
991,4484,,0,2,2,4,2,2,4
992,22379,,0,2,2,4,2,2,4
993,13096,,0,22,22,44,22,22,44
994,12688,,0,3,3,6,3,3,6
995,20879,,0,15,15,30,15,15,30
996,21943,,0,13,13,26,13,13,26
997,13520,,0,16,16,32,16,16,32
998,9184,,0,21,21,42,21,21,42
999,4697,,0,5,5,10,5,5,10
1000,12135,,0,6,6,12,6,6,12
1001,19433,,0,8,8,16,8,8,16
1002,135,,0,11,11,22,11,11,22
1003,1776,,0,4,4,8,4,4,8
1004,15816,,0,4,4,8,4,4,8
1005,19945,,0,5,5,10,5,5,10
1006,18736,,0,11,11,22,11,11,22
1007,11107,,0,8,8,16,8,8,16
1008,13624,,0,5,5,10,5,5,10
1009,15477,,0,9,9,18,9,9,18
1010,16649,,0,3,3,6,3,3,6
1011,18331,,0,12,12,24,12,12,24
1012,9143,,0,7,7,14,7,7,14
1013,12056,,0,1,1,2,1,1,2
1014,14647,,0,4,4,8,4,4,8
1015,6512,,0,49,49,98,49,49,98
1016,25209,,0,6,6,12,6,6,12
1017,4376,,0,4,4,8,4,4,8
1018,18246,,0,3,3,6,3,3,6
1019,1327,,0,1,1,2,1,1,2
1020,6738,,0,1,1,2,1,1,2
1021,25863,,0,1,1,2,1,1,2
1022,5194,,0,5,5,10,5,5,10
1023,953,,0,3,3,6,3,3,6
1024,6828,,0,1,1,2,1,1,2
1025,25319,,0,1,1,2,1,1,2
1026,22336,,0,11,11,22,11,11,22
1027,14351,,0,9,9,18,9,9,18
1028,205,,0,6,6,12,6,6,12
1029,12389,,0,2,2,4,2,2,4
1030,15718,,0,1,1,2,1,1,2
1031,16506,,0,3,3,6,3,3,6
1032,21650,,0,7,7,14,7,7,14
1033,22502,,0,3,3,6,3,3,6
1034,12842,,0,15,15,30,15,15,30
1035,10381,,0,9,9,18,9,9,18
1036,22721,,0,3,3,6,3,3,6
1037,18973,,0,3,3,6,3,3,6
1038,19207,,0,3,3,6,3,3,6
1039,19580,,0,4,4,8,4,4,8
1040,7025,,0,1,1,2,1,1,2
1041,19161,,0,4,4,8,4,4,8
1042,21831,,0,3,3,6,3,3,6
1043,2449,,0,34,34,68,34,34,68
1044,3076,,0,4,4,8,4,4,8
1045,7444,,0,28,28,56,28,28,56
1046,20574,,0,37,37,74,37,37,74
1047,21629,,0,7,7,14,7,7,14
1048,88,,0,42,42,84,42,42,84
1049,1995,,0,42,42,84,42,42,84
1050,2338,,0,42,42,84,42,42,84
1051,2530,,0,42,42,84,42,42,84
1052,2535,,0,42,42,84,42,42,84
1053,4355,,0,31,31,62,31,31,62
1054,4755,,0,42,42,84,42,42,84
1055,5210,,0,33,33,66,33,33,66
1056,6340,,0,42,42,84,42,42,84
1057,7197,,0,42,42,84,42,42,84
1058,7635,,0,42,42,84,42,42,84
1059,8727,,0,33,33,66,33,33,66
1060,9313,,0,31,31,62,31,31,62
1061,9656,,0,42,42,84,42,42,84
1062,9869,,0,41,41,82,41,41,82
1063,10350,,0,43,43,86,43,43,86
1064,12507,,0,42,42,84,42,42,84
1065,12710,,0,33,33,66,33,33,66
1066,14648,,0,31,31,62,31,31,62
1067,14766,,0,42,42,84,42,42,84
1068,15010,,0,42,42,84,42,42,84
1069,15245,,0,33,33,66,33,33,66
1070,15457,,0,34,34,68,34,34,68
1071,15933,,0,41,41,82,41,41,82
1072,16654,,0,42,42,84,42,42,84
1073,17807,,0,42,42,84,42,42,84
1074,18225,,0,42,42,84,42,42,84
1075,18453,,0,36,36,72,36,36,72
1076,18778,,0,34,34,68,34,34,68
1077,19114,,0,31,31,62,31,31,62
1078,19446,,0,33,33,66,33,33,66
1079,19645,,0,42,42,84,42,42,84
1080,19939,,0,42,42,84,42,42,84
1081,20346,,0,2,2,4,2,2,4
1082,20576,,0,41,41,82,41,41,82
1083,21178,,0,31,31,62,31,31,62
1084,22504,,0,33,33,66,33,33,66
1085,23712,,0,34,34,68,34,34,68
1086,24718,,0,40,40,80,40,40,80
1087,15081,,0,4,4,8,4,4,8
1088,20660,,0,4,4,8,4,4,8
1089,8087,,0,3,3,6,3,3,6
1090,15523,,0,2,2,4,2,2,4
1091,17339,,0,1,1,2,1,1,2
1092,19711,,0,1,1,2,1,1,2
1093,20307,,0,2,2,4,2,2,4
1094,5840,,0,2,2,4,2,2,4
1095,8614,,0,1,1,2,1,1,2
1096,22609,,0,3,3,6,3,3,6
1097,7899,,0,5,5,10,5,5,10
1098,4466,,0,6,6,12,6,6,12
1099,10983,,0,12,12,24,12,12,24
1100,5497,,0,3,3,6,3,3,6
1101,17738,,0,8,8,16,8,8,16
1102,20478,,0,26,26,52,26,26,52
1103,7264,,0,15,15,30,15,15,30
1104,11447,,0,4,4,8,4,4,8
1105,15625,,0,1,1,2,1,1,2
1106,15917,,0,4,4,8,4,4,8
1107,18790,,0,2,2,4,2,2,4
1108,3679,,0,3,3,6,3,3,6
1109,4364,,0,33,33,66,33,33,66
1110,19445,,0,1,1,2,1,1,2
1111,19495,,0,1,1,2,1,1,2
1112,1116,,0,9,9,18,9,9,18
1113,15399,,0,3,3,6,3,3,6
1114,18222,,0,4,4,8,4,4,8
1115,21287,,0,8,8,16,8,8,16
1116,23227,,0,1,1,2,1,1,2
1117,19489,,0,16,16,32,16,16,32
1118,22778,,0,10,10,20,10,10,20
1119,25698,,0,13,13,26,13,13,26
1120,23441,,0,11,11,22,11,11,22
1121,6421,,0,6,6,12,6,6,12
1122,8224,,0,6,6,12,6,6,12
1123,11696,,0,19,19,38,19,19,38
1124,574,,0,2,2,4,2,2,4
1125,6971,,0,4,4,8,4,4,8
1126,13282,,0,5,5,10,5,5,10
1127,15409,,0,2,2,4,2,2,4
1128,18745,,0,3,3,6,3,3,6
1129,18758,,0,3,3,6,3,3,6
1130,21497,,0,3,3,6,3,3,6
1131,3651,,0,35,35,70,35,35,70
1132,6351,,0,3,3,6,3,3,6
1133,5175,,0,6,6,12,6,6,12
1134,4766,,0,2,2,4,2,2,4
1135,5143,,0,2,2,4,2,2,4
1136,9735,,0,4,4,8,4,4,8
1137,17396,,0,1,1,2,1,1,2
1138,26138,,0,2,2,4,2,2,4
1139,10794,,0,2,2,4,2,2,4
1140,7050,,0,6,6,12,6,6,12
1141,25850,,0,2,2,4,2,2,4
1142,10113,,0,12,12,24,12,12,24
1143,10657,,0,2,2,4,2,2,4
1144,12130,,0,11,11,22,11,11,22
1145,17172,,0,8,8,16,8,8,16
1146,7042,,0,4,4,8,4,4,8
1147,11661,,0,8,8,16,8,8,16
1148,21994,,0,17,17,34,17,17,34
1149,9943,,0,11,11,22,11,11,22
1150,15614,,0,7,7,14,7,7,14
1151,16368,,0,11,11,22,11,11,22
1152,17285,,0,6,6,12,6,6,12
1153,21407,,0,6,6,12,6,6,12
1154,11077,,0,14,14,28,14,14,28
1155,22951,,0,8,8,16,8,8,16
1156,25589,,0,3,3,6,3,3,6
1157,16006,,0,17,17,34,17,17,34
1158,22621,,0,3,3,6,3,3,6
1159,23110,,0,8,8,16,8,8,16
1160,22693,,0,3,3,6,3,3,6
1161,23920,,0,3,3,6,3,3,6
1162,16521,,0,4,4,8,4,4,8
